idx,start_epoch_s,end_epoch_s,dur_s,rail,energy_J,delta_energy_J,baseline_mW,baseline_mean_mW,prompt_chars,prompt_tokens,completion_tokens,max_tokens,baseline_mode,baseline_estimator,baseline_n
0,1766937263.509989,1766937268.191869,4.681880,VIN_SYS_5V0,37.314976,24.041846,2835.000,2974.670,1462,578,150,512,fixed_seconds,p10,214
0,1766937263.509989,1766937268.191869,4.681880,VDD_GPU_SOC,131.214366,123.723359,1600.000,1931.133,1462,578,150,512,fixed_seconds,p10,214
0,1766937263.509989,1766937268.191869,4.681880,VDD_CPU_CV,2.691552,2.691552,0.000,228.413,1462,578,150,512,fixed_seconds,p10,214
1,1766937268.192290,1766937272.162149,3.969859,VIN_SYS_5V0,34.954990,23.700439,2835.000,2974.670,1462,578,150,512,fixed_seconds,p10,214
1,1766937268.192290,1766937272.162149,3.969859,VDD_GPU_SOC,130.179530,123.827755,1600.000,1931.133,1462,578,150,512,fixed_seconds,p10,214
1,1766937268.192290,1766937272.162149,3.969859,VDD_CPU_CV,1.365722,1.365722,0.000,228.413,1462,578,150,512,fixed_seconds,p10,214
2,1766937272.162558,1766937274.662537,2.499979,VIN_SYS_5V0,21.690140,14.602699,2835.000,2974.670,1387,503,83,512,fixed_seconds,p10,214
2,1766937272.162558,1766937274.662537,2.499979,VDD_GPU_SOC,81.607514,77.607547,1600.000,1931.133,1387,503,83,512,fixed_seconds,p10,214
2,1766937272.162558,1766937274.662537,2.499979,VDD_CPU_CV,0.957199,0.957199,0.000,228.413,1387,503,83,512,fixed_seconds,p10,214
3,1766937274.662946,1766937278.095026,3.432080,VIN_SYS_5V0,29.580650,19.850702,2835.000,2974.670,1499,615,113,512,fixed_seconds,p10,214
3,1766937274.662946,1766937278.095026,3.432080,VDD_GPU_SOC,111.030171,105.538842,1600.000,1931.133,1499,615,113,512,fixed_seconds,p10,214
3,1766937274.662946,1766937278.095026,3.432080,VDD_CPU_CV,1.076899,1.076899,0.000,228.413,1499,615,113,512,fixed_seconds,p10,214
4,1766937278.095435,1766937280.453788,2.358353,VIN_SYS_5V0,19.881003,13.195072,2835.000,2974.670,1350,466,75,512,fixed_seconds,p10,214
