idx,start_epoch_s,end_epoch_s,dur_s,rail,energy_J,delta_energy_J,baseline_mW,prompt_chars,prompt_tokens,completion_tokens,max_tokens,baseline_mode
0,1766937263.509989,1766937268.191869,4.681880,VIN_SYS_5V0,37.314976,23.387928,2974.670,1462,578,150,512,fixed_seconds
0,1766937263.509989,1766937268.191869,4.681880,VDD_GPU_SOC,131.214366,122.173032,1931.133,1462,578,150,512,fixed_seconds
0,1766937263.509989,1766937268.191869,4.681880,VDD_CPU_CV,2.691552,1.622152,228.413,1462,578,150,512,fixed_seconds
1,1766937268.192290,1766937272.162149,3.969859,VIN_SYS_5V0,34.954990,23.145968,2974.670,1462,578,150,512,fixed_seconds
1,1766937268.192290,1766937272.162149,3.969859,VDD_GPU_SOC,130.179530,122.513202,1931.133,1462,578,150,512,fixed_seconds
1,1766937268.192290,1766937272.162149,3.969859,VDD_CPU_CV,1.365722,0.458955,228.413,1462,578,150,512,fixed_seconds
2,1766937272.162558,1766937274.662537,2.499979,VIN_SYS_5V0,21.690140,14.253526,2974.670,1387,503,83,512,fixed_seconds
2,1766937272.162558,1766937274.662537,2.499979,VDD_GPU_SOC,81.607514,76.779721,1931.133,1387,503,83,512,fixed_seconds
2,1766937272.162558,1766937274.662537,2.499979,VDD_CPU_CV,0.957199,0.386172,228.413,1387,503,83,512,fixed_seconds
3,1766937274.662946,1766937278.095026,3.432080,VIN_SYS_5V0,29.580650,19.371343,2974.670,1499,615,113,512,fixed_seconds
3,1766937274.662946,1766937278.095026,3.432080,VDD_GPU_SOC,111.030171,104.402366,1931.133,1499,615,113,512,fixed_seconds
3,1766937274.662946,1766937278.095026,3.432080,VDD_CPU_CV,1.076899,0.292969,228.413,1499,615,113,512,fixed_seconds
4,1766937278.095435,1766937280.453788,2.358353,VIN_SYS_5V0,19.881003,12.865680,2974.670,1350,466,75,512,fixed_seconds
4,1766937278.095435,1766937280.453788,2.358353,VDD_GPU_SOC,75.561240,71.006945,1931.133,1350,466,75,512,fixed_seconds
4,1766937278.095435,1766937280.453788,2.358353,VDD_CPU_CV,0.943342,0.404664,228.413,1350,466,75,512,fixed_seconds
5,1766937280.454195,1766937295.476362,15.022167,VIN_SYS_5V0,129.996527,85.310534,2974.670,1554,670,512,512,fixed_seconds
