idx,start_epoch_s,end_epoch_s,dur_s,rail,energy_J,delta_energy_J,baseline_mW,baseline_mean_mW,prompt_chars,prompt_tokens,completion_tokens,max_tokens,baseline_mode,baseline_estimator,baseline_n
0,1767748495.203226,1767748499.052798,3.849572,VIN_SYS_5V0,30.253431,19.320647,2840.000,2852.873,1462,578,120,120,workload_start_event,p10,239
0,1767748495.203226,1767748499.052798,3.849572,VDD_GPU_SOC,104.552048,98.392733,1600.000,1615.903,1462,578,120,120,workload_start_event,p10,239
0,1767748495.203226,1767748499.052798,3.849572,VDD_CPU_CV,2.319848,2.319848,0.000,18.795,1462,578,120,120,workload_start_event,p10,239
1,1767748499.053222,1767748502.213550,3.160328,VIN_SYS_5V0,28.046977,19.071645,2840.000,2852.873,1462,578,120,120,workload_start_event,p10,239
1,1767748499.053222,1767748502.213550,3.160328,VDD_GPU_SOC,104.300139,99.243614,1600.000,1615.903,1462,578,120,120,workload_start_event,p10,239
1,1767748499.053222,1767748502.213550,3.160328,VDD_CPU_CV,1.169687,1.169687,0.000,18.795,1462,578,120,120,workload_start_event,p10,239
2,1767748502.213941,1767748504.715537,2.501596,VIN_SYS_5V0,21.637876,14.533343,2840.000,2852.873,1387,503,83,120,workload_start_event,p10,239
2,1767748502.213941,1767748504.715537,2.501596,VDD_GPU_SOC,81.868550,77.865996,1600.000,1615.903,1387,503,83,120,workload_start_event,p10,239
2,1767748502.213941,1767748504.715537,2.501596,VDD_CPU_CV,1.000639,1.000639,0.000,18.795,1387,503,83,120,workload_start_event,p10,239
3,1767748504.715956,1767748508.141904,3.425948,VIN_SYS_5V0,29.445064,19.715371,2840.000,2852.873,1499,615,113,120,workload_start_event,p10,239
3,1767748504.715956,1767748508.141904,3.425948,VDD_GPU_SOC,111.319499,105.837982,1600.000,1615.903,1499,615,113,120,workload_start_event,p10,239
3,1767748504.715956,1767748508.141904,3.425948,VDD_CPU_CV,1.025935,1.025935,0.000,18.795,1499,615,113,120,workload_start_event,p10,239
4,1767748508.142346,1767748510.496166,2.353820,VIN_SYS_5V0,19.950556,13.265707,2840.000,2852.873,1350,466,75,120,workload_start_event,p10,239
4,1767748508.142346,1767748510.496166,2.353820,VDD_GPU_SOC,75.718431,71.952319,1600.000,1615.903,1350,466,75,120,workload_start_event,p10,239
4,1767748508.142346,1767748510.496166,2.353820,VDD_CPU_CV,0.513750,0.513750,0.000,18.795,1350,466,75,120,workload_start_event,p10,239
5,1767748510.496587,1767748514.208420,3.711833,VIN_SYS_5V0,31.877939,21.336333,2840.000,2852.873,1554,670,120,120,workload_start_event,p10,239
5,1767748510.496587,1767748514.208420,3.711833,VDD_GPU_SOC,116.449204,110.510271,1600.000,1615.903,1554,670,120,120,workload_start_event,p10,239
