idx,start_epoch_s,end_epoch_s,dur_s,rail,energy_J,delta_energy_J,baseline_mW,baseline_mean_mW,prompt_chars,prompt_tokens,completion_tokens,max_tokens,baseline_mode,baseline_estimator,baseline_n
0,1766967265.281951,1766967266.196680,0.914730,VIN_SYS_5V0,4.912422,2.319164,2835.000,2929.830,1419,562,7,7,workload_start_event,p10,226
0,1766967265.281951,1766967266.196680,0.914730,VDD_GPU_SOC,10.759646,9.296079,1600.000,1967.774,1419,562,7,7,workload_start_event,p10,226
0,1766967265.281951,1766967266.196680,0.914730,VDD_CPU_CV,1.193193,1.193193,0.000,61.365,1419,562,7,7,workload_start_event,p10,226
1,1766967266.197155,1766967266.383874,0.186719,VIN_SYS_5V0,1.301323,0.771975,2835.000,2929.830,1419,562,7,7,workload_start_event,p10,226
1,1766967266.197155,1766967266.383874,0.186719,VDD_GPU_SOC,4.296411,3.997660,1600.000,1967.774,1419,562,7,7,workload_start_event,p10,226
1,1766967266.197155,1766967266.383874,0.186719,VDD_CPU_CV,0.084715,0.084715,0.000,61.365,1419,562,7,7,workload_start_event,p10,226
2,1766967266.384215,1766967266.872050,0.487835,VIN_SYS_5V0,3.634574,2.251562,2835.000,2929.830,1344,487,7,7,workload_start_event,p10,226
2,1766967266.384215,1766967266.872050,0.487835,VDD_GPU_SOC,13.300059,12.519522,1600.000,1967.774,1344,487,7,7,workload_start_event,p10,226
2,1766967266.384215,1766967266.872050,0.487835,VDD_CPU_CV,0.195134,0.195134,0.000,61.365,1344,487,7,7,workload_start_event,p10,226
3,1766967266.872440,1766967267.502135,0.629695,VIN_SYS_5V0,4.680819,2.895633,2835.000,2929.830,1456,599,7,7,workload_start_event,p10,226
3,1766967266.872440,1766967267.502135,0.629695,VDD_GPU_SOC,18.092022,17.084510,1600.000,1967.774,1456,599,7,7,workload_start_event,p10,226
3,1766967266.872440,1766967267.502135,0.629695,VDD_CPU_CV,0.251878,0.251878,0.000,61.365,1456,599,7,7,workload_start_event,p10,226
