t_epoch_s,power_mW,gpu_index,source
1767014099.813897,10420,0,nvidia-smi
1767014099.915179,10420,0,nvidia-smi
1767014100.014841,10400,0,nvidia-smi
1767014100.103000,10370,0,nvidia-smi
1767014100.213835,10380,0,nvidia-smi
1767014100.326300,10370,0,nvidia-smi
1767014100.402877,10370,0,nvidia-smi
1767014100.503040,10370,0,nvidia-smi
1767014100.602875,10370,0,nvidia-smi
1767014100.714120,10370,0,nvidia-smi
1767014100.814357,10380,0,nvidia-smi
1767014100.914289,10380,0,nvidia-smi
1767014101.001833,10390,0,nvidia-smi
1767014101.102895,10390,0,nvidia-smi
1767014101.202460,10390,0,nvidia-smi
1767014101.302818,10390,0,nvidia-smi
1767014101.416879,10390,0,nvidia-smi
1767014101.525427,10390,0,nvidia-smi
1767014101.602860,10390,0,nvidia-smi
1767014101.714276,10390,0,nvidia-smi
1767014101.815260,10390,0,nvidia-smi
1767014101.902849,10390,0,nvidia-smi
1767014102.015195,10460,0,nvidia-smi
1767014102.103317,10460,0,nvidia-smi
1767014102.203419,10460,0,nvidia-smi
1767014102.313974,10460,0,nvidia-smi
1767014102.425334,10460,0,nvidia-smi
1767014102.515288,10460,0,nvidia-smi
1767014102.614055,10460,0,nvidia-smi
1767014102.703388,10460,0,nvidia-smi
1767014102.803363,10460,0,nvidia-smi
1767014102.915621,10460,0,nvidia-smi
1767014103.015111,10530,0,nvidia-smi
1767014103.103282,10530,0,nvidia-smi
1767014103.226379,10530,0,nvidia-smi
1767014103.302404,10530,0,nvidia-smi
1767014103.402985,10530,0,nvidia-smi
1767014103.514282,10530,0,nvidia-smi
1767014103.603370,10530,0,nvidia-smi
1767014103.714257,10530,0,nvidia-smi
1767014103.825337,10530,0,nvidia-smi
1767014103.903502,10530,0,nvidia-smi
1767014104.014029,10570,0,nvidia-smi
1767014104.114040,10570,0,nvidia-smi
1767014104.215212,10570,0,nvidia-smi
1767014104.315032,10570,0,nvidia-smi
1767014104.403588,10570,0,nvidia-smi
1767014104.514987,10570,0,nvidia-smi
1767014104.602490,10570,0,nvidia-smi
1767014104.715107,10570,0,nvidia-smi
1767014104.802743,10570,0,nvidia-smi
1767014104.903113,10570,0,nvidia-smi
1767014105.002410,10560,0,nvidia-smi
1767014105.102805,10560,0,nvidia-smi
1767014105.203711,10560,0,nvidia-smi
1767014105.314258,10560,0,nvidia-smi
1767014105.403147,10560,0,nvidia-smi
1767014105.515267,10560,0,nvidia-smi
1767014105.603414,10560,0,nvidia-smi
1767014105.714367,10560,0,nvidia-smi
1767014105.815088,10560,0,nvidia-smi
1767014105.915230,10560,0,nvidia-smi
1767014106.014109,10600,0,nvidia-smi
1767014106.102739,10600,0,nvidia-smi
1767014106.203181,10600,0,nvidia-smi
1767014106.314039,10600,0,nvidia-smi
1767014106.415189,10600,0,nvidia-smi
1767014106.503417,10600,0,nvidia-smi
1767014106.627319,10600,0,nvidia-smi
1767014106.714095,10600,0,nvidia-smi
1767014106.815150,10600,0,nvidia-smi
1767014106.903129,10600,0,nvidia-smi
1767014107.014131,10610,0,nvidia-smi
1767014107.115204,10610,0,nvidia-smi
1767014107.215109,10610,0,nvidia-smi
1767014107.303474,10610,0,nvidia-smi
1767014107.402403,10610,0,nvidia-smi
1767014107.515033,10610,0,nvidia-smi
1767014107.614338,10610,0,nvidia-smi
1767014107.703367,10610,0,nvidia-smi
1767014107.815193,10610,0,nvidia-smi
1767014107.914860,10610,0,nvidia-smi
1767014108.013177,10590,0,nvidia-smi
1767014108.116106,10590,0,nvidia-smi
1767014108.215296,10590,0,nvidia-smi
1767014108.316038,10590,0,nvidia-smi
1767014108.403476,10590,0,nvidia-smi
1767014108.503264,10590,0,nvidia-smi
1767014108.603520,10590,0,nvidia-smi
1767014108.713896,10590,0,nvidia-smi
1767014108.803443,10590,0,nvidia-smi
1767014108.915070,10590,0,nvidia-smi
1767014109.013934,10520,0,nvidia-smi
1767014109.115792,10520,0,nvidia-smi
1767014109.214120,10520,0,nvidia-smi
1767014109.315558,10520,0,nvidia-smi
1767014109.402742,10520,0,nvidia-smi
1767014109.514086,10520,0,nvidia-smi
1767014109.615091,10520,0,nvidia-smi
1767014109.703571,10520,0,nvidia-smi
1767014109.814928,10520,0,nvidia-smi
1767014109.915443,10520,0,nvidia-smi
1767014110.013803,10430,0,nvidia-smi
1767014110.114227,10430,0,nvidia-smi
1767014110.203067,10430,0,nvidia-smi
1767014110.303338,10430,0,nvidia-smi
1767014110.415111,10430,0,nvidia-smi
1767014110.502833,10430,0,nvidia-smi
1767014110.603365,10430,0,nvidia-smi
1767014110.714050,10430,0,nvidia-smi
1767014110.815043,10430,0,nvidia-smi
1767014110.902320,10430,0,nvidia-smi
1767014111.014042,10370,0,nvidia-smi
1767014111.139493,10370,0,nvidia-smi
1767014111.214042,10370,0,nvidia-smi
1767014111.303289,10370,0,nvidia-smi
1767014111.402793,10370,0,nvidia-smi
1767014111.513588,10370,0,nvidia-smi
1767014111.614537,10370,0,nvidia-smi
1767014111.703069,10370,0,nvidia-smi
1767014111.814404,10370,0,nvidia-smi
1767014111.914037,10370,0,nvidia-smi
1767014112.014192,10310,0,nvidia-smi
1767014112.114134,10310,0,nvidia-smi
1767014112.213291,10310,0,nvidia-smi
1767014112.303366,10310,0,nvidia-smi
1767014112.403108,10310,0,nvidia-smi
1767014112.503211,10310,0,nvidia-smi
1767014112.614038,10310,0,nvidia-smi
1767014112.714267,10310,0,nvidia-smi
1767014112.815097,10310,0,nvidia-smi
1767014112.914427,10310,0,nvidia-smi
1767014113.002311,10320,0,nvidia-smi
1767014113.115280,10320,0,nvidia-smi
1767014113.214871,10320,0,nvidia-smi
1767014113.338590,10320,0,nvidia-smi
1767014113.416079,10320,0,nvidia-smi
1767014113.502929,10320,0,nvidia-smi
1767014113.613726,10320,0,nvidia-smi
1767014113.702999,10320,0,nvidia-smi
1767014113.803370,10320,0,nvidia-smi
1767014113.902799,10320,0,nvidia-smi
1767014114.014420,10330,0,nvidia-smi
1767014114.114060,10330,0,nvidia-smi
1767014114.203330,10330,0,nvidia-smi
