idx,start_epoch_s,end_epoch_s,dur_s,rail,energy_J,delta_energy_J,baseline_mW,baseline_mean_mW,prompt_chars,prompt_tokens,completion_tokens,max_tokens,baseline_mode,baseline_estimator,baseline_n
0,1767014130.453872,1767014130.666681,0.212809,GPU0,3.879580,1.694035,10270.000,10386.933,1419,562,7,7,workload_start_event,p10,300
1,1767014130.666768,1767014130.711703,0.044935,GPU0,1.043523,0.582035,10270.000,10386.933,1419,562,7,7,workload_start_event,p10,300
2,1767014130.711751,1767014130.793074,0.081323,GPU0,2.608831,1.773647,10270.000,10386.933,1344,487,7,7,workload_start_event,p10,300
3,1767014130.793113,1767014130.894323,0.101210,GPU0,4.186698,3.147268,10270.000,10386.933,1456,599,7,7,workload_start_event,p10,300
4,1767014130.894369,1767014130.971838,0.077469,GPU0,3.961959,3.166356,10270.000,10386.933,1307,450,7,7,workload_start_event,p10,300
5,1767014130.971879,1767014131.084981,0.113101,GPU0,6.589413,5.427861,10270.000,10386.933,1511,654,7,7,workload_start_event,p10,300
6,1767014131.085023,1767014131.193325,0.108302,GPU0,12.203222,11.090962,10270.000,10386.933,1429,562,7,7,workload_start_event,p10,300
7,1767014131.193370,1767014131.273613,0.080243,GPU0,11.977965,11.153870,10270.000,10386.933,1354,487,7,7,workload_start_event,p10,300
8,1767014131.273647,1767014131.373562,0.099916,GPU0,15.980533,14.954401,10270.000,10386.933,1466,599,7,7,workload_start_event,p10,300
9,1767014131.373594,1767014131.449934,0.076339,GPU0,13.332964,12.548957,10270.000,10386.933,1317,450,7,7,workload_start_event,p10,300
10,1767014131.449967,1767014131.561666,0.111699,GPU0,21.355868,20.208721,10270.000,10386.933,1521,654,7,7,workload_start_event,p10,300
11,1767014131.561702,1767014131.663071,0.101369,GPU0,21.320092,20.279033,10270.000,10386.933,1425,558,7,7,workload_start_event,p10,300
12,1767014131.663146,1767014131.743582,0.080436,GPU0,17.884930,17.058850,10270.000,10386.933,1350,483,7,7,workload_start_event,p10,300
13,1767014131.743632,1767014131.843354,0.099721,GPU0,23.295891,22.271752,10270.000,10386.933,1462,595,7,7,workload_start_event,p10,300
14,1767014131.843395,1767014131.919226,0.075831,GPU0,18.036307,17.257519,10270.000,10386.933,1313,446,7,7,workload_start_event,p10,300
15,1767014131.919268,1767014132.030294,0.111027,GPU0,26.802025,25.661780,10270.000,10386.933,1517,650,7,7,workload_start_event,p10,300
16,1767014132.030341,1767014132.158170,0.127829,GPU0,31.310669,29.997866,10270.000,10386.933,1419,563,7,7,workload_start_event,p10,300
17,1767014132.158256,1767014132.239577,0.081321,GPU0,19.942139,19.106969,10270.000,10386.933,1344,488,7,7,workload_start_event,p10,300
18,1767014132.239642,1767014132.341265,0.101623,GPU0,24.746403,23.702739,10270.000,10386.933,1456,600,7,7,workload_start_event,p10,300
19,1767014132.341314,1767014132.418495,0.077181,GPU0,18.779617,17.986965,10270.000,10386.933,1307,451,7,7,workload_start_event,p10,300
20,1767014132.418539,1767014132.531332,0.112793,GPU0,27.379650,26.221266,10270.000,10386.933,1511,655,7,7,workload_start_event,p10,300
21,1767014132.531371,1767014132.641005,0.109633,GPU0,26.468255,25.342322,10270.000,10386.933,1455,566,7,7,workload_start_event,p10,300
22,1767014132.641043,1767014132.721494,0.080452,GPU0,19.361813,18.535573,10270.000,10386.933,1380,491,7,7,workload_start_event,p10,300
23,1767014132.721530,1767014132.821741,0.100211,GPU0,24.158063,23.128899,10270.000,10386.933,1492,603,7,7,workload_start_event,p10,300
24,1767014132.821774,1767014132.898160,0.076386,GPU0,18.418950,17.634466,10270.000,10386.933,1343,454,7,7,workload_start_event,p10,300
25,1767014132.898190,1767014133.009852,0.111662,GPU0,26.943035,25.796268,10270.000,10386.933,1547,658,7,7,workload_start_event,p10,300
26,1767014133.009891,1767014133.116858,0.106966,GPU0,25.726185,24.627640,10270.000,10386.933,1445,564,7,7,workload_start_event,p10,300
27,1767014133.116893,1767014133.196883,0.079990,GPU0,19.215291,18.393789,10270.000,10386.933,1370,489,7,7,workload_start_event,p10,300
28,1767014133.196923,1767014133.296469,0.099547,GPU0,23.934328,22.911983,10270.000,10386.933,1482,601,7,7,workload_start_event,p10,300
29,1767014133.296504,1767014133.372509,0.076006,GPU0,18.540944,17.760365,10270.000,10386.933,1333,452,7,7,workload_start_event,p10,300
30,1767014133.372541,1767014133.483954,0.111413,GPU0,27.373717,26.229503,10270.000,10386.933,1537,656,7,7,workload_start_event,p10,300
31,1767014133.483991,1767014133.594594,0.110604,GPU0,27.459893,26.323994,10270.000,10386.933,1445,570,7,7,workload_start_event,p10,300
32,1767014133.594632,1767014133.674614,0.079982,GPU0,20.098891,19.277476,10270.000,10386.933,1370,495,7,7,workload_start_event,p10,300
33,1767014133.674648,1767014133.774634,0.099986,GPU0,25.232814,24.205955,10270.000,10386.933,1482,607,7,7,workload_start_event,p10,300
34,1767014133.774688,1767014133.853415,0.078727,GPU0,19.967620,19.159094,10270.000,10386.933,1333,458,7,7,workload_start_event,p10,300
35,1767014133.853457,1767014133.965246,0.111790,GPU0,28.430364,27.282284,10270.000,10386.933,1537,662,7,7,workload_start_event,p10,300
36,1767014133.965283,1767014134.072625,0.107343,GPU0,27.337127,26.234717,10270.000,10386.933,1447,564,7,7,workload_start_event,p10,300
37,1767014134.072663,1767014134.152696,0.080033,GPU0,20.422570,19.600628,10270.000,10386.933,1372,489,7,7,workload_start_event,p10,300
38,1767014134.152729,1767014134.252550,0.099821,GPU0,25.497514,24.472354,10270.000,10386.933,1484,601,7,7,workload_start_event,p10,300
