t_epoch_s,power_mW,gpu_index,source
1766961007.788810,10450,0,nvidia-smi
1766961007.888902,10450,0,nvidia-smi
1766961007.989168,10370,0,nvidia-smi
1766961008.101673,10370,0,nvidia-smi
1766961008.177086,10370,0,nvidia-smi
1766961008.289156,10370,0,nvidia-smi
1766961008.377608,10370,0,nvidia-smi
1766961008.476485,10370,0,nvidia-smi
1766961008.588956,10370,0,nvidia-smi
1766961008.677646,10370,0,nvidia-smi
1766961008.788926,10370,0,nvidia-smi
1766961008.890577,10370,0,nvidia-smi
1766961008.988731,10380,0,nvidia-smi
1766961009.078090,10380,0,nvidia-smi
1766961009.188975,10380,0,nvidia-smi
1766961009.278087,10380,0,nvidia-smi
1766961009.389027,10380,0,nvidia-smi
1766961009.477395,10380,0,nvidia-smi
1766961009.577627,10380,0,nvidia-smi
1766961009.677481,10380,0,nvidia-smi
1766961009.790175,10380,0,nvidia-smi
1766961009.891053,10380,0,nvidia-smi
1766961009.977570,10450,0,nvidia-smi
1766961010.090179,10450,0,nvidia-smi
1766961010.189280,10450,0,nvidia-smi
1766961010.278131,10450,0,nvidia-smi
1766961010.390029,10450,0,nvidia-smi
1766961010.478595,10450,0,nvidia-smi
1766961010.589144,10450,0,nvidia-smi
1766961010.677179,10450,0,nvidia-smi
1766961010.778435,10450,0,nvidia-smi
1766961010.890992,10450,0,nvidia-smi
1766961010.977987,10440,0,nvidia-smi
1766961011.100287,10440,0,nvidia-smi
1766961011.178127,10440,0,nvidia-smi
1766961011.278129,10440,0,nvidia-smi
1766961011.389996,10440,0,nvidia-smi
1766961011.477560,10440,0,nvidia-smi
1766961011.577696,10440,0,nvidia-smi
1766961011.678484,10440,0,nvidia-smi
1766961011.777726,10440,0,nvidia-smi
1766961011.890171,10440,0,nvidia-smi
1766961011.977049,10390,0,nvidia-smi
1766961012.091278,10390,0,nvidia-smi
1766961012.190064,10390,0,nvidia-smi
1766961012.277641,10390,0,nvidia-smi
1766961012.401105,10390,0,nvidia-smi
1766961012.489015,10390,0,nvidia-smi
1766961012.590390,10390,0,nvidia-smi
1766961012.677348,10390,0,nvidia-smi
1766961012.790283,10390,0,nvidia-smi
1766961012.889049,10390,0,nvidia-smi
1766961012.989102,10420,0,nvidia-smi
1766961013.078333,10420,0,nvidia-smi
1766961013.188816,10420,0,nvidia-smi
1766961013.278135,10420,0,nvidia-smi
1766961013.378168,10420,0,nvidia-smi
1766961013.489966,10420,0,nvidia-smi
1766961013.578368,10420,0,nvidia-smi
1766961013.678010,10420,0,nvidia-smi
1766961013.801542,10420,0,nvidia-smi
1766961013.877922,10420,0,nvidia-smi
1766961013.978014,10440,0,nvidia-smi
1766961014.089069,10440,0,nvidia-smi
1766961014.178149,10440,0,nvidia-smi
1766961014.277122,10440,0,nvidia-smi
1766961014.388996,10440,0,nvidia-smi
1766961014.478701,10440,0,nvidia-smi
1766961014.589035,10440,0,nvidia-smi
1766961014.700717,10440,0,nvidia-smi
1766961014.777889,10440,0,nvidia-smi
1766961014.878314,10440,0,nvidia-smi
1766961014.977600,10390,0,nvidia-smi
1766961015.078067,10390,0,nvidia-smi
1766961015.200337,10390,0,nvidia-smi
1766961015.290267,10390,0,nvidia-smi
1766961015.390059,10390,0,nvidia-smi
1766961015.478607,10390,0,nvidia-smi
1766961015.578189,10390,0,nvidia-smi
1766961015.678813,10390,0,nvidia-smi
1766961015.778154,10390,0,nvidia-smi
1766961015.878321,10390,0,nvidia-smi
1766961015.977694,10400,0,nvidia-smi
1766961016.078072,10400,0,nvidia-smi
1766961016.189025,10400,0,nvidia-smi
1766961016.302396,10400,0,nvidia-smi
1766961016.389285,10400,0,nvidia-smi
1766961016.490058,10400,0,nvidia-smi
1766961016.590285,10400,0,nvidia-smi
1766961016.678226,10400,0,nvidia-smi
1766961016.777738,10400,0,nvidia-smi
1766961016.889067,10400,0,nvidia-smi
1766961016.989198,10390,0,nvidia-smi
1766961017.077768,10390,0,nvidia-smi
1766961017.190092,10390,0,nvidia-smi
1766961017.300660,10390,0,nvidia-smi
1766961017.390229,10390,0,nvidia-smi
1766961017.478355,10390,0,nvidia-smi
1766961017.590367,10390,0,nvidia-smi
1766961017.690070,10390,0,nvidia-smi
1766961017.790337,10390,0,nvidia-smi
1766961017.889025,10390,0,nvidia-smi
1766961017.977532,10370,0,nvidia-smi
1766961018.090600,10370,0,nvidia-smi
1766961018.178119,10370,0,nvidia-smi
1766961018.289240,10370,0,nvidia-smi
1766961018.388852,10370,0,nvidia-smi
1766961018.478445,10370,0,nvidia-smi
1766961018.589052,10370,0,nvidia-smi
1766961018.678637,10370,0,nvidia-smi
1766961018.778315,10370,0,nvidia-smi
1766961018.878474,10370,0,nvidia-smi
1766961018.989061,10380,0,nvidia-smi
1766961019.078350,10380,0,nvidia-smi
1766961019.190051,10380,0,nvidia-smi
1766961019.278257,10380,0,nvidia-smi
1766961019.388818,10380,0,nvidia-smi
1766961019.490184,10380,0,nvidia-smi
1766961019.578238,10380,0,nvidia-smi
1766961019.689070,10380,0,nvidia-smi
1766961019.789018,10380,0,nvidia-smi
1766961019.877683,10380,0,nvidia-smi
1766961019.978066,10350,0,nvidia-smi
1766961020.090043,10350,0,nvidia-smi
1766961020.190274,10350,0,nvidia-smi
1766961020.289054,10350,0,nvidia-smi
1766961020.388962,10350,0,nvidia-smi
1766961020.489074,10350,0,nvidia-smi
1766961020.578631,10350,0,nvidia-smi
1766961020.690079,10350,0,nvidia-smi
1766961020.788983,10350,0,nvidia-smi
1766961020.889269,10350,0,nvidia-smi
1766961020.989052,10380,0,nvidia-smi
1766961021.078621,10380,0,nvidia-smi
1766961021.189052,10380,0,nvidia-smi
1766961021.289369,10380,0,nvidia-smi
1766961021.377810,10380,0,nvidia-smi
1766961021.489038,10380,0,nvidia-smi
1766961021.589100,10380,0,nvidia-smi
1766961021.677610,10380,0,nvidia-smi
1766961021.777769,10380,0,nvidia-smi
1766961021.889041,10380,0,nvidia-smi
1766961021.978043,10470,0,nvidia-smi
1766961022.078055,10470,0,nvidia-smi
1766961022.190279,10470,0,nvidia-smi
1766961022.278233,10470,0,nvidia-smi
1766961022.378113,10470,0,nvidia-smi
1766961022.489288,10470,0,nvidia-smi
1766961022.589063,10470,0,nvidia-smi
1766961022.678371,10470,0,nvidia-smi
1766961022.789030,10470,0,nvidia-smi
1766961022.889176,10470,0,nvidia-smi
1766961022.989809,10500,0,nvidia-smi
1766961023.090039,10500,0,nvidia-smi
1766961023.178366,10500,0,nvidia-smi
1766961023.290137,10500,0,nvidia-smi
1766961023.378088,10500,0,nvidia-smi
1766961023.500234,10500,0,nvidia-smi
1766961023.576035,10500,0,nvidia-smi
1766961023.678392,10500,0,nvidia-smi
1766961023.789058,10500,0,nvidia-smi
1766961023.878107,10500,0,nvidia-smi
1766961023.990072,10480,0,nvidia-smi
1766961024.089037,10480,0,nvidia-smi
1766961024.178549,10480,0,nvidia-smi
1766961024.278285,10480,0,nvidia-smi
1766961024.389188,10480,0,nvidia-smi
1766961024.501304,10480,0,nvidia-smi
1766961024.591198,10480,0,nvidia-smi
1766961024.689901,10480,0,nvidia-smi
1766961024.790356,10480,0,nvidia-smi
1766961024.877693,10480,0,nvidia-smi
1766961024.990145,10470,0,nvidia-smi
1766961025.077024,10470,0,nvidia-smi
1766961025.190218,10470,0,nvidia-smi
1766961025.290098,10470,0,nvidia-smi
1766961025.400364,10470,0,nvidia-smi
1766961025.477302,10470,0,nvidia-smi
1766961025.589359,10470,0,nvidia-smi
1766961025.690177,10470,0,nvidia-smi
1766961025.789132,10470,0,nvidia-smi
1766961025.889242,10470,0,nvidia-smi
1766961025.977914,10420,0,nvidia-smi
1766961026.078000,10420,0,nvidia-smi
1766961026.178325,10420,0,nvidia-smi
1766961026.290362,10420,0,nvidia-smi
1766961026.377698,10420,0,nvidia-smi
1766961026.490300,10420,0,nvidia-smi
1766961026.590000,10420,0,nvidia-smi
1766961026.677532,10420,0,nvidia-smi
1766961026.777484,10420,0,nvidia-smi
1766961026.890181,10420,0,nvidia-smi
1766961026.977659,10430,0,nvidia-smi
1766961027.089100,10430,0,nvidia-smi
1766961027.177546,10430,0,nvidia-smi
1766961027.278093,10430,0,nvidia-smi
1766961027.377671,10430,0,nvidia-smi
1766961027.489048,10430,0,nvidia-smi
1766961027.590111,10430,0,nvidia-smi
1766961027.689791,10430,0,nvidia-smi
1766961027.778246,10430,0,nvidia-smi
1766961027.889983,10430,0,nvidia-smi
1766961027.977949,10500,0,nvidia-smi
1766961028.088988,10500,0,nvidia-smi
1766961028.177530,10500,0,nvidia-smi
1766961028.277727,10500,0,nvidia-smi
1766961028.389965,10500,0,nvidia-smi
1766961028.478319,10500,0,nvidia-smi
1766961028.590146,10500,0,nvidia-smi
1766961028.677877,10500,0,nvidia-smi
1766961028.790185,10500,0,nvidia-smi
1766961028.877703,10500,0,nvidia-smi
1766961028.978057,10470,0,nvidia-smi
1766961029.090030,10470,0,nvidia-smi
1766961029.176953,10470,0,nvidia-smi
1766961029.290366,10470,0,nvidia-smi
1766961029.377987,10470,0,nvidia-smi
1766961029.489304,10470,0,nvidia-smi
1766961029.590257,10470,0,nvidia-smi
1766961029.690021,10470,0,nvidia-smi
1766961029.777681,10470,0,nvidia-smi
1766961029.901374,10470,0,nvidia-smi
1766961029.990401,10400,0,nvidia-smi
1766961030.089984,10400,0,nvidia-smi
1766961030.178446,10400,0,nvidia-smi
1766961030.278430,10400,0,nvidia-smi
1766961030.378559,10400,0,nvidia-smi
1766961030.478472,10400,0,nvidia-smi
1766961030.578162,10400,0,nvidia-smi
1766961030.689349,10400,0,nvidia-smi
1766961030.778276,10400,0,nvidia-smi
1766961030.888188,10400,0,nvidia-smi
1766961030.990176,10440,0,nvidia-smi
1766961031.077862,10440,0,nvidia-smi
1766961031.177740,10440,0,nvidia-smi
1766961031.277231,10440,0,nvidia-smi
1766961031.378368,10440,0,nvidia-smi
1766961031.477154,10440,0,nvidia-smi
1766961031.589188,10440,0,nvidia-smi
1766961031.689035,10440,0,nvidia-smi
1766961031.789051,10440,0,nvidia-smi
1766961031.890169,10440,0,nvidia-smi
1766961031.976959,10460,0,nvidia-smi
1766961032.078383,10460,0,nvidia-smi
1766961032.190033,10460,0,nvidia-smi
1766961032.289292,10460,0,nvidia-smi
1766961032.378196,10460,0,nvidia-smi
1766961032.488953,10460,0,nvidia-smi
1766961032.589178,10460,0,nvidia-smi
1766961032.688865,10460,0,nvidia-smi
1766961032.790028,10460,0,nvidia-smi
1766961032.889007,10460,0,nvidia-smi
1766961032.989263,10380,0,nvidia-smi
1766961033.088985,10380,0,nvidia-smi
1766961033.190198,10380,0,nvidia-smi
1766961033.290031,10380,0,nvidia-smi
1766961033.390028,10380,0,nvidia-smi
1766961033.488912,10380,0,nvidia-smi
1766961033.601354,10380,0,nvidia-smi
1766961033.689002,10380,0,nvidia-smi
1766961033.778148,10380,0,nvidia-smi
1766961033.877087,10380,0,nvidia-smi
1766961033.978093,10310,0,nvidia-smi
1766961034.089038,10310,0,nvidia-smi
1766961034.178314,10310,0,nvidia-smi
1766961034.289072,10310,0,nvidia-smi
1766961034.378513,10310,0,nvidia-smi
1766961034.489750,10310,0,nvidia-smi
1766961034.578330,10310,0,nvidia-smi
1766961034.688746,10310,0,nvidia-smi
1766961034.812183,10310,0,nvidia-smi
1766961034.900706,10310,0,nvidia-smi
1766961034.977697,10280,0,nvidia-smi
1766961035.090218,10280,0,nvidia-smi
1766961035.178082,10280,0,nvidia-smi
1766961035.290390,10280,0,nvidia-smi
1766961035.389802,10280,0,nvidia-smi
1766961035.489040,10280,0,nvidia-smi
1766961035.588990,10280,0,nvidia-smi
1766961035.677574,10280,0,nvidia-smi
1766961035.790132,10280,0,nvidia-smi
1766961035.877622,10280,0,nvidia-smi
1766961035.977596,10300,0,nvidia-smi
1766961036.078550,10300,0,nvidia-smi
1766961036.189196,10300,0,nvidia-smi
1766961036.290071,10300,0,nvidia-smi
1766961036.390325,10300,0,nvidia-smi
1766961036.477288,10300,0,nvidia-smi
1766961036.588976,10300,0,nvidia-smi
1766961036.678265,10300,0,nvidia-smi
1766961036.789015,10300,0,nvidia-smi
1766961036.890119,10300,0,nvidia-smi
1766961036.977137,10300,0,nvidia-smi
1766961037.088958,10300,0,nvidia-smi
1766961037.190165,10300,0,nvidia-smi
1766961037.290021,10300,0,nvidia-smi
1766961037.377405,10300,0,nvidia-smi
1766961037.489945,10300,0,nvidia-smi
1766961037.577608,10300,0,nvidia-smi
1766961037.689077,10300,0,nvidia-smi
1766961037.789273,10300,0,nvidia-smi
1766961037.918765,10300,0,nvidia-smi
1766961038.044927,10300,0,nvidia-smi
1766961038.091311,10300,0,nvidia-smi
1766961038.182312,10280,0,nvidia-smi
1766961038.277016,12070,0,nvidia-smi
1766961038.376402,13960,0,nvidia-smi
1766961038.476132,15590,0,nvidia-smi
1766961038.576456,17030,0,nvidia-smi
1766961038.676140,18300,0,nvidia-smi
