idx,start_epoch_s,end_epoch_s,dur_s,rail,energy_J,delta_energy_J,baseline_mW,baseline_mean_mW,prompt_chars,prompt_tokens,completion_tokens,max_tokens,baseline_mode,baseline_estimator,baseline_n
0,1766961039.907802,1766961040.928343,1.020541,GPU0,82.926435,72.404653,10310.000,10406.681,1462,578,134,512,workload_start_event,p10,300
1,1766961040.928427,1766961041.780534,0.852107,GPU0,152.877842,144.092621,10310.000,10406.681,1462,578,134,512,workload_start_event,p10,300
2,1766961041.780613,1766961042.489435,0.708822,GPU0,133.758483,126.450526,10310.000,10406.681,1387,503,106,512,workload_start_event,p10,300
3,1766961042.489506,1766961043.042437,0.552931,GPU0,106.383472,100.682756,10310.000,10406.681,1499,615,78,512,workload_start_event,p10,300
4,1766961043.042526,1766961043.775446,0.732920,GPU0,141.528896,133.972494,10310.000,10406.681,1350,466,111,512,workload_start_event,p10,300
5,1766961043.775530,1766961044.349172,0.573642,GPU0,110.455011,104.540764,10310.000,10406.681,1554,670,79,512,workload_start_event,p10,300
6,1766961044.349232,1766961045.119082,0.769850,GPU0,148.827488,140.890334,10310.000,10406.681,1472,578,111,512,workload_start_event,p10,300
7,1766961045.119155,1766961045.834150,0.714994,GPU0,137.317734,129.946142,10310.000,10406.681,1397,503,107,512,workload_start_event,p10,300
8,1766961045.834227,1766961046.617043,0.782817,GPU0,150.696362,142.625520,10310.000,10406.681,1509,615,114,512,workload_start_event,p10,300
9,1766961046.617096,1766961047.490236,0.873140,GPU0,167.663498,158.661429,10310.000,10406.681,1360,466,133,512,workload_start_event,p10,300
10,1766961047.490314,1766961049.342915,1.852602,GPU0,351.920100,332.819776,10310.000,10406.681,1564,670,274,512,workload_start_event,p10,300
11,1766961049.343007,1766961050.502024,1.159017,GPU0,219.685756,207.736287,10310.000,10406.681,1468,574,168,512,workload_start_event,p10,300
12,1766961050.502112,1766961051.556178,1.054066,GPU0,202.738375,191.870950,10310.000,10406.681,1393,499,160,512,workload_start_event,p10,300
13,1766961051.556264,1766961052.629524,1.073260,GPU0,206.160838,195.095529,10310.000,10406.681,1505,611,159,512,workload_start_event,p10,300
14,1766961052.629597,1766961053.439630,0.810032,GPU0,155.525713,147.174279,10310.000,10406.681,1356,462,123,512,workload_start_event,p10,300
15,1766961053.439703,1766961054.524632,1.084928,GPU0,209.561601,198.375993,10310.000,10406.681,1560,666,158,512,workload_start_event,p10,300
16,1766961054.524713,1766961055.003626,0.478913,GPU0,92.184752,87.247158,10310.000,10406.681,1462,579,65,512,workload_start_event,p10,300
17,1766961055.003714,1766961055.436484,0.432770,GPU0,84.003865,79.542011,10310.000,10406.681,1387,504,62,512,workload_start_event,p10,300
18,1766961055.436568,1766961055.908970,0.472402,GPU0,93.024890,88.154430,10310.000,10406.681,1499,616,65,512,workload_start_event,p10,300
19,1766961055.909062,1766961056.404323,0.495261,GPU0,97.310154,92.204016,10310.000,10406.681,1350,467,73,512,workload_start_event,p10,300
20,1766961056.404409,1766961056.889853,0.485444,GPU0,95.235017,90.230089,10310.000,10406.681,1554,671,65,512,workload_start_event,p10,300
21,1766961056.889936,1766961057.636498,0.746562,GPU0,146.903285,139.206228,10310.000,10406.681,1498,582,107,512,workload_start_event,p10,300
22,1766961057.636576,1766961058.221183,0.584607,GPU0,113.936610,107.909308,10310.000,10406.681,1423,507,86,512,workload_start_event,p10,300
23,1766961058.221260,1766961058.853251,0.631991,GPU0,123.026764,116.510935,10310.000,10406.681,1535,619,90,512,workload_start_event,p10,300
24,1766961058.853321,1766961059.418061,0.564740,GPU0,110.112141,104.289674,10310.000,10406.681,1386,470,84,512,workload_start_event,p10,300
25,1766961059.418145,1766961060.187848,0.769703,GPU0,149.926892,141.991258,10310.000,10406.681,1590,674,109,512,workload_start_event,p10,300
26,1766961060.187929,1766961060.966290,0.778362,GPU0,151.090620,143.065710,10310.000,10406.681,1488,580,112,512,workload_start_event,p10,300
27,1766961060.966372,1766961061.701969,0.735597,GPU0,142.426494,134.842487,10310.000,10406.681,1413,505,110,512,workload_start_event,p10,300
28,1766961061.702044,1766961062.460560,0.758516,GPU0,146.798505,138.978209,10310.000,10406.681,1525,617,110,512,workload_start_event,p10,300
29,1766961062.460638,1766961063.737022,1.276384,GPU0,246.629729,233.470209,10310.000,10406.681,1376,468,196,512,workload_start_event,p10,300
30,1766961063.737113,1766961064.485181,0.748068,GPU0,143.040640,135.328056,10310.000,10406.681,1580,672,106,512,workload_start_event,p10,300
31,1766961064.485251,1766961064.912487,0.427235,GPU0,83.269727,78.864933,10310.000,10406.681,1488,586,57,512,workload_start_event,p10,300
32,1766961064.912539,1766961065.312830,0.400291,GPU0,78.218344,74.091344,10310.000,10406.681,1413,511,57,512,workload_start_event,p10,300
33,1766961065.312883,1766961065.733042,0.420158,GPU0,83.347491,79.015658,10310.000,10406.681,1525,623,57,512,workload_start_event,p10,300
34,1766961065.733106,1766961066.252295,0.519189,GPU0,102.817331,97.464491,10310.000,10406.681,1376,474,77,512,workload_start_event,p10,300
35,1766961066.252353,1766961066.667020,0.414667,GPU0,81.958527,77.683309,10310.000,10406.681,1580,678,54,512,workload_start_event,p10,300
36,1766961066.667073,1766961067.771703,1.104630,GPU0,216.523729,205.134989,10310.000,10406.681,1490,580,163,512,workload_start_event,p10,300
37,1766961067.771779,1766961069.050079,1.278300,GPU0,245.232876,232.053600,10310.000,10406.681,1415,505,195,512,workload_start_event,p10,300
38,1766961069.050153,1766961070.182642,1.132489,GPU0,217.216664,205.540703,10310.000,10406.681,1527,617,168,512,workload_start_event,p10,300
39,1766961070.182709,1766961071.548363,1.365654,GPU0,261.298933,247.219038,10310.000,10406.681,1378,468,210,512,workload_start_event,p10,300
40,1766961071.548436,1766961072.771558,1.223122,GPU0,234.532974,221.922587,10310.000,10406.681,1582,672,179,512,workload_start_event,p10,300
